name,longitude,latitude
MTR ADMIRALTY STATION,114.1644,22.2792
MTR CAUSEWAY BAY STATION,114.1828,22.2803
MTR CENTRAL STATION,114.1608,22.2812
MTR CHAI WAN STATION,114.2371,22.2645
MTR CHEUNG SHA WAN STATION,114.1564,22.3355
MTR CHOI HUNG STATION,114.2093,22.334
MTR DIAMOND HILL STATION,114.2006,22.3406
MTR FANLING STATION,114.1384,22.4925
MTR FO TAN STATION,114.1979,22.3948
MTR HANG HAU STATION,114.2637,22.3166
MTR HENG FA CHUEN STATION,114.2397,22.2766
MTR HONG KONG STATION,114.1573,22.2858
MTR HUNG HOM STATION,114.1815,22.3025
MTR JORDAN STATION,114.1712,22.3043
MTR KAM SHEUNG RD STATION,114.0634,22.4347
MTR KOWLOON BAY STATION,114.2139,22.3243
MTR KOWLOON STATION,114.1618,22.3048
MTR KOWLOON TONG STATION,114.1761,22.337
MTR KWAI FONG STATION,114.1284,22.3577
MTR KWAI HING STATION,114.1311,22.3631
MTR KWUN TONG STATION,114.2264,22.3121
MTR LAI CHI KOK STATION,114.1472,22.3367
MTR LAI KING STATION,114.126,22.3484
MTR LAM TIN STATION,114.232,22.3072
MTR LO WU STATION,114.1135,22.5294
MTR LOK FU STATION,114.1877,22.3378
MTR LONG PING STATION,114.0254,22.4476
MTR MONG KOK EAST STATION,114.1726,22.3221
MTR MONG KOK STATION,114.1688,22.3191
MTR NGAU TAU KOK STATION,114.2191,22.3154
MTR NORTH POINT STATION,114.2004,22.2909
MTR OLYMPIC STATION,114.1602,22.3176
MTR PO LAM STATION,114.2572,22.3233
MTR PRINCE EDWARD STATION,114.1681,22.3235
MTR QUARRY BAY STATION,114.2054,22.2908
MTR SHA TIN STATION,114.1875,22.3826
MTR SHAM SHUI PO STATION,114.1626,22.3302
MTR SHAU KEI WAN STATION,114.2291,22.2792
MTR SHEK KIP MEI STATION,114.1689,22.3317
MTR SHEUNG SHUI STATION,114.128,22.5011
MTR SIU HONG STATION,113.9788,22.4118
MTR TAI KOO STATION,114.2153,22.2848
MTR TAI WAI STATION,114.1755,22.3712
MTR TAI WO HAU STATION,114.1259,22.3709
MTR TAI WO STATION,114.1607,22.4515
MTR TIN HAU STATION,114.1914,22.2821
MTR TIU KENG LENG STATION,114.2521,22.3045
MTR TSEUNG KWAN O STATION,114.2608,22.3078
MTR TSIM SHA TSUI STATION,114.1721,22.2969
MTR TSING YI STATION,114.1068,22.3584
MTR TSUEN WAN STATION,114.1176,22.3737
MTR TSUEN WAN WEST STATION,114.1091,22.3686
MTR TUNG CHUNG STATION,113.9412,22.2892
MTR UNIVERSITY STATION,114.21,22.4138
MTR WANCHAI STATION,114.1732,22.278
MTR WONG TAI SIN STATION,114.1952,22.3415
MTR WU KAI SHA STATION,114.2438,22.4291
MTR YAU MA TEI STATION,114.1703,22.313
MTR YAU TONG STATION,114.2363,22.299
MTR YUEN LONG STATION,114.0353,22.446
